Character,Scene Count
by,200
Ross,1261
yourself,1
Joey,1322
Chandler,1361
Rachel,1318
Monica,1295
Phoebe,1211
Mike,60
man,1
Manny,1
discuss,1
speech,1
Tom,3
Kori,1
Gunther,63
All,200
Stripper,3
Guys,14
Doctor,14
Assistant,2
Amanda,5
scene,3
first,1
Glenda,1
Bonnie,9
Sr,2
Girls,10
Janine,15
Wayne,3
Producer,1
Elizabeth,20
Paul,20
Estelle,8
Lewis,2
Morse,2
Guy,32
Jake,2
are,2
Announcer,7
Presenter,1
Ashley,2
8,11
NOTE,1
JOEY,112
CHANDLER,109
INTERVIEWER,1
MONICA,100
PHOEBE,94
ROSS,121
GELLER,11
RACHEL,102
GAIL,1
MAN,2
ALL,29
ROY,1
CHIP,1
BOTH,4
Judy,2
Jack,3
Everybody,3
Emma,2
Scene,12
this,8
Mark,11
Julio,3
Jeannine,1
Director,39
Quartet,2
Man,31
Barber,1
Woman,54
Singer,3
Host,3
beautiful,1
like,5
Ursula,10
Eric,8
Kids,1
Girl,12
Mona,20
Cowgirl,1
Witch,1
Ballerina,1
Clown,1
Kid,2
Cape,1
Lapse,1
Frank,20
Jasmine,2
Isabella,1
Story,4
Racel,1
now,1
Everyone,7
Steve,10
Message,2
up,2
TV,5
message,1
is,5
holiday,1
David,17
Max,4
Sung,2
Bobby,4
Clark,1
Sandy,8
Janice,44
Charlie,33
Bill,2
Colleen,2
Owen,2
note,8
Attendant,7
Croupler,1
Hitchhiker,3
Note,18
chandler,1
BURKE,4
GUY,7
Ben,17
Carol,38
9,9
AMBER,2
REMORE,2
EDDIE,13
RICHARD,22
TILLY,1
WRITER,1
HORTON,1
INTERCOM,1
AMGER,1
Chloe,10
Issac,3
Doug,10
Kara,3
Both,12
1,20
Julie,10
6,7
Barry,7
Bernice,3
Mindy,2
letters,1
Danielle,1
Billy,1
Williams,1
Robin,1
Crystal,1
Pete,17
Hoshi,1
Stevens,2
Phil,1
Referee,1
Professor,1
2,28
3,11
Alex,1
Member,1
Russell,2
Student,6
Erica,13
Nurse,23
agent,1
stewardess,2
enjoy,1
Long,8
Tedlock,1
Celia,2
GREENE,3
GUNTER,1
GUNTHER,4
VOICE,1
GUYS,1
SCENE,1
Ellen,2
Receptionist,11
Gettleman,1
Boy,1
Sally,1
goes,2
TO,1
Geller,54
Pastor,1
Precious,2
thing,3
Photographer,3
Bing,8
Funny,1
funny,1
Phillips,2
Waiter,18
Bandleader,2
Gert,1
Waitress,7
me,4
Frannie,2
Customer,8
Margha,2
5,7
4,8
Terry,3
Susan,27
says,5
follows,1
WAITRESS,1
WAITER,5
MACHINE,1
STEVE,1
JADE,1
Sarah,7
Leader,1
Boss,3
called,2
Leslie,6
Ginger,4
Lecturer,2
heard,1
Commercial,1
PRODUCER,1
Teacher,13
Cynthia,1
Leedbetter,2
Gary,16
Radio,1
Zelner,9
Jen,2
Green,15
Erin,5
Ray,1
mother,1
father,1
mom,1
dad,1
Tag,27
Knocker,1
Cheryl,4
Kathy,16
Burkart,3
Sonia,1
girl,2
question,3
Molly,5
Gavin,8
friend,1
Michelle,4
Jeweler,2
Zane,4
Alice,10
11,2
Kim,8
Lauren,9
Hillary,2
Saleslady,1
Joshua,12
Marjorie,1
Worker,2
effective,1
Tim,5
Franklin,2
Bob,8
Kash,2
Star,2
Ramoray,1
Ledbetter,1
Leno,2
one,4
Hornswoggle,1
Benjamin,4
Li,1
Biely,1
commercial,1
Jill,15
Heckles,6
Paolo,8
Inspector,1
Larry,3
Danny,10
idea,1
it,6
Video,1
Tribbiani,8
Roger,5
Ronni,3
stop,1
night,1
Translation,3
Daughter,2
Brenda,4
Guest,3
Millie,2
thinking,2
Ethan,3
Petrie,1
Gerston,1
Santos,1
Burt,3
Dana,2
Mel,1
Lydia,5
Voice,10
Burke,1
Handyman,1
Missy,2
Donny,4
Osmond,1
appears,1
Gene,3
Roy,2
stripper,1
word,1
Henrietta,1
Adrienne,1
voice,3
guy,7
song,1
CHAN,19
PHOE,16
RACH,19
MNCA,22
FBOB,5
RUSS,4
ESTL,1
GANG,2
JULIE,10
Paulo,2
Frankie,1
Kudrow,2
Don,2
Spafford,2
Jane,1
Lowder,1
lady,2
One,1
too,1
Ashford,1
Rache,1
7,3
16,1
Dirk,1
mind,1
woman,1
Baldhara,1
PA,1
Actor,1
Clerk,7
Wedding,1
322,1
204,1
106,1
507,1
Interviewer,11
603,1
304,1
703,1
604,1
521,1
417,1
609,1
619,1
711,1
214,1
618,1
224,1
722,1
401,1
513,1
512,1
712,1
706,1
608,1
605,1
413,1
607,1
613,1
admits,1
Cashier,1
Critic,1
Katie,5
JANICE,2
BOYLE,1
ALISON,1
TREEGER,2
HECKLES,1
her,2
Casey,1
said,4
Extra,1
Drake,4
extra,1
Kaplan,1
Sisters,2
Cookie,2
Sister,2
Grandmother,1
Theresa,1
Angela,5
Iris,1
Emily,31
Emeril,1
Collins,2
Volunteer,1
Supervisor,2
Earl,4
Tasks,1
reads,2
Marge,1
Joanna,11
Lynch,2
Posner,1
Allesandro,3
Sophie,7
Mischa,3
Sergei,3
10,1
Rosen,2
Mitchell,3
Friends,4
Party,1
WOMAN,2
GREEN,1
CAROL,4
WALLACE,1
A,1
MINISTER,1
SUSAN,4
Malcom,2
comments,1
Nina,4
Helen,2
Douglas,2
Jamie,1
Fran,1
13,1
tip,2
