Season,Episode,Character,Scene Count
1,1,3,1
1,1,6,1
1,1,All,5
1,1,Chandler,9
1,1,Customer,1
1,1,Frannie,1
1,1,Joey,8
1,1,Monica,9
1,1,Paul,4
1,1,Phoebe,6
1,1,Rachel,8
1,1,Ross,8
1,1,TV,1
1,1,Waitress,1
1,1,by,1
1,1,me,1
1,2,All,2
1,2,Barry,2
1,2,Bernice,1
1,2,Carol,4
1,2,Chandler,4
1,2,Geller,1
1,2,Joey,4
1,2,Marsha,1
1,2,Monica,4
1,2,Oberman,1
1,2,Phoebe,4
1,2,Rachel,6
1,2,Robbie,2
1,2,Ross,8
1,2,Susan,3
1,2,advice,1
1,2,by,1
1,3,Alan,2
1,3,All,7
1,3,Chandler,8
1,3,Guys,1
1,3,Joey,7
1,3,Lizzie,2
1,3,Monica,10
1,3,Paula,2
1,3,Phoebe,8
1,3,Rachel,8
1,3,Ross,8
1,3,by,1
1,3,question,1
1,3,you,1
1,4,All,4
1,4,Both,1
1,4,Chandler,10
1,4,Guy,1
1,4,Guys,1
1,4,Joanne,2
1,4,Joey,7
1,4,Kid,1
1,4,Kiki,2
1,4,Leslie,2
1,4,Monica,8
1,4,Pheebs,1
1,4,Phoebe,7
1,4,Rachel,9
1,4,Receptionist,2
1,4,Ross,9
1,4,by,1
1,4,out,1
1,5,Angela,4
1,5,Bob,2
1,5,Chandler,7
1,5,Janice,3
1,5,Joey,8
1,5,Monica,8
1,5,Phoebe,6
1,5,Rachel,6
1,5,Ross,7
1,5,Woman,2
1,5,by,1
1,6,All,4
1,6,Aurora,3
1,6,Chandler,7
1,6,Director,1
1,6,Joey,7
1,6,Monica,6
1,6,Phoebe,5
1,6,Rachel,5
1,6,Ross,5
1,6,by,1
1,6,stuff,1
1,6,way,1
1,7,All,1
1,7,Chandler,9
1,7,Heckles,1
1,7,Jill,6
1,7,Joey,6
1,7,Monica,7
1,7,Paolo,3
1,7,Phoebe,11
1,7,Rachel,10
1,7,Ross,8
1,7,by,1
1,7,note,1
1,8,All,2
1,8,Andrea,1
1,8,Chandler,8
1,8,Geller,6
1,8,Joey,6
1,8,Lillian,2
1,8,Lowell,1
1,8,Monica,7
1,8,Nurse,1
1,8,Phoebe,5
1,8,Rachel,6
1,8,Ross,8
1,8,Scene,1
1,8,Shelley,2
1,8,by,1
1,9,All,1
1,9,Carol,2
1,9,Chandler,6
1,9,Girl,1
1,9,Guy,1
1,9,Joey,8
1,9,Monica,5
1,9,Phoebe,6
1,9,Rachel,7
1,9,Ross,7
1,9,Scene,1
1,9,Susan,2
1,9,Terry,1
1,9,by,1
1,9,follows,1
1,9,says,1
1,10,All,3
1,10,Bobby,1
1,10,Chandler,5
1,10,Clark,1
1,10,David,4
1,10,Janice,1
1,10,Joey,4
1,10,Max,4
1,10,Monica,5
1,10,Phoebe,7
1,10,Rachel,6
1,10,Ross,6
1,10,Sandy,1
1,10,Sung,1
1,10,by,1
1,10,holiday,1
1,11,All,2
1,11,Bing,3
1,11,Chandler,6
1,11,Guy,2
1,11,Joey,7
1,11,Leno,1
1,11,Monica,10
1,11,Paolo,2
1,11,Phoebe,8
1,11,Rachel,5
1,11,Ross,7
1,11,Sung,1
1,11,by,1
1,12,2,1
1,12,3,1
1,12,4,1
1,12,5,1
1,12,Assistant,1
1,12,Carol,1
1,12,Chandler,11
1,12,Customer,1
1,12,Girls,1
1,12,Guys,1
1,12,Joey,10
1,12,Monica,7
1,12,Paolo,3
1,12,Phoebe,8
1,12,Rachel,6
1,12,Ross,7
1,12,Susan,1
1,12,by,1
1,12,continues,1
1,13,All,3
1,13,Chandler,9
1,13,Joey,10
1,13,Monica,6
1,13,Phoebe,6
1,13,Rachel,6
1,13,Roger,3
1,13,Ronni,3
1,13,Ross,4
1,13,Tribbiani,6
1,13,by,1
1,13,stop,1
1,14,1,2
1,14,2,2
1,14,3,3
1,14,Carol,2
1,14,Chandler,8
1,14,Janice,6
1,14,Joey,7
1,14,Kristin,2
1,14,Lorraine,2
1,14,Monica,6
1,14,Phoebe,4
1,14,Rachel,6
1,14,Ross,5
1,14,Susan,1
1,14,Woman,1
1,14,by,1
1,14,something,1
1,15,All,1
1,15,Celia,2
1,15,Chandler,7
1,15,Joey,6
1,15,Monica,7
1,15,Phoebe,7
1,15,Rachel,7
1,15,Ross,7
1,15,Steve,2
1,15,Tedlock,1
1,15,Woman,1
1,15,by,1
1,16,13,1
1,16,All,1
1,16,Carol,2
1,16,Chandler,11
1,16,Douglas,2
1,16,Fran,1
1,16,Heckles,2
1,16,Helen,2
1,16,Jamie,1
1,16,Joey,5
1,16,Monica,5
1,16,Nina,4
1,16,Phoebe,6
1,16,Rachel,7
1,16,Ross,6
1,16,Susan,3
1,16,Teacher,3
1,16,Ursula,2
1,16,Woman,1
1,16,by,1
1,16,tip,1
1,16,voice,1
1,17,All,1
1,17,Chandler,7
1,17,Friends,1
1,17,Geller,1
1,17,Joey,5
1,17,Mitchell,3
1,17,Monica,9
1,17,Nurse,3
1,17,Party,1
1,17,Phoebe,5
1,17,Rachel,8
1,17,Rosen,2
1,17,Ross,8
1,17,Ursula,1
1,17,by,1
1,18,All,1
1,18,Chandler,8
1,18,Girls,1
1,18,Guys,2
1,18,Iris,1
1,18,Joey,8
1,18,Monica,8
1,18,Phoebe,7
1,18,Rachel,8
1,18,Ross,8
1,18,by,1
1,19,1,1
1,19,2,1
1,19,4,1
1,19,All,1
1,19,Barry,1
1,19,Both,1
1,19,Chandler,5
1,19,Heckles,2
1,19,Intercom,1
1,19,Joey,5
1,19,Luisa,1
1,19,Monica,5
1,19,Note,1
1,19,Phoebe,4
1,19,Rachel,6
1,19,Ross,5
1,19,by,1
1,19,have,1
1,20,All,3
1,20,Barry,3
1,20,Bernice,2
1,20,Bobby,1
1,20,Chandler,7
1,20,Danielle,1
1,20,Joey,9
1,20,Mindy,2
1,20,Monica,8
1,20,Phoebe,6
1,20,Rachel,10
1,20,Ross,6
1,20,by,1
1,20,letters,1
1,20,this,1
1,21,1,1
1,21,2,1
1,21,Actor,1
1,21,All,1
1,21,Baldhara,1
1,21,Chandler,7
1,21,Joey,8
1,21,Monica,9
1,21,PA,1
1,21,Phoebe,6
1,21,Rachel,9
1,21,Ross,6
1,21,Teacher,2
1,21,Woman,1
1,21,by,1
1,22,All,2
1,22,Chandler,8
1,22,Ethan,3
1,22,Gerston,1
1,22,Joey,6
1,22,Monica,8
1,22,Petrie,1
1,22,Phoebe,7
1,22,Rachel,7
1,22,Ross,7
1,22,Santos,1
1,22,Scene,1
1,22,by,1
1,22,thinking,1
1,23,All,3
1,23,Carol,7
1,23,Chandler,8
1,23,Franzblau,5
1,23,Guy,1
1,23,Janitor,1
1,23,Joey,8
1,23,Lydia,4
1,23,Monica,7
1,23,Nurse,3
1,23,Phoebe,9
1,23,Rachel,8
1,23,Ross,12
1,23,Susan,9
1,23,by,1
1,24,Attendant,1
1,24,Carl,1
1,24,Chandler,5
1,24,Intercom,1
1,24,Joey,6
1,24,Julie,1
1,24,Man,2
1,24,Melanie,2
1,24,Monica,5
1,24,Phoebe,4
1,24,Rachel,8
1,24,Ross,5
1,24,by,1
2,1,6,1
2,1,All,2
2,1,Chandler,8
2,1,Frankie,1
2,1,Joey,6
2,1,Julie,3
2,1,Monica,6
2,1,Paulo,2
2,1,Phoebe,9
2,1,Rachel,9
2,1,Ross,7
2,1,by,1
2,2,All,1
2,2,Annabelle,3
2,2,Carol,3
2,2,Chandler,5
2,2,Customer,1
2,2,Guy,2
2,2,Joey,8
2,2,Julie,2
2,2,Man,3
2,2,Monica,7
2,2,Phoebe,6
2,2,Rachel,7
2,2,Ross,6
2,2,Susan,3
2,2,by,1
2,3,ALISON,1
2,3,ALL,1
2,3,BOYLE,1
2,3,CHANDLER,1
2,3,HECKLES,1
2,3,JANICE,1
2,3,JOEY,1
2,3,MONICA,1
2,3,PHOEBE,1
2,3,RACHEL,1
2,3,ROSS,1
2,3,TREEGER,1
2,3,her,1
2,4,ALL,3
2,4,CHANDLER,6
