Year_of_prod,Season,Episode_Title,Duration,Summary,Director,Stars,Votes,episode_num_in_season,episode_num_overall,directed_by,written_by,original_air_date,prod_code,us_viewers
1994,1,the one where monica gets a roommate,22,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fianc� at the altar.",James Burrows,8.1,2200,1,1,James Burrows,David Crane & Marta Kauffman,28/04/1994,456650,20200000
1994,1,the one with the sonogram at the end,22,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,James Burrows,8.1,4888,2,2,James Burrows,David Crane & Marta Kauffman,29/09/1994,456652,20200000
1994,1,the one with the thumb,22,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,James Burrows,8.2,4605,3,3,James Burrows,Jeffrey Astrof & Mike Sikowitz,06/10/1994,456651,19500000
1994,1,the one with george stephanopoulos,22,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",James Burrows,8.1,4468,4,4,James Burrows,Alexa Junge,13/10/1994,456654,19700000
1994,1,the one with the east german laundry detergent,22,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",Pamela Fryman,8.5,4438,5,5,Pamela Fryman,Jeff Greenstein & Jeff Strauss,20/10/1994,456653,18600000
1994,1,the one with the butt,22,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,Arlene Sanford,8.1,4274,6,6,Arlene Sanford,Adam Chase & Ira Ungerleider,27/10/1994,456655,18200000
1994,1,the one with the blackout,22,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",James Burrows,9,5469,7,7,James Burrows,Jeffrey Astrof & Mike Sikowitz,03/11/1994,456656,23500000
1994,1,the one where nana dies twice,22,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,James Burrows,8.1,4156,8,8,James Burrows,Marta Kauffman & David Crane,10/11/1994,456657,21100000
1994,1,the one where underdog gets away,22,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,James Burrows,8.2,4038,9,9,James Burrows,Jeff Greenstein & Jeff Strauss,17/11/1994,456659,23100000
1994,1,the one with the monkey,22,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,Peter Bonerz,8.1,4064,10,10,Peter Bonerz,Adam Chase & Ira Ungerleider,15/12/1994,456661,19900000
1995,1,the one with mrs. bing,22,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",James Burrows,8.2,3996,11,11,James Burrows,Alexa Junge,05/01/1995,456660,26600000
1995,1,the one with the dozen lasagnas,22,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,Paul Lazarus,8.2,3926,12,12,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,12/01/1995,456658,24000000
1995,1,the one with the boobies,22,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,Alan Myerson,8.7,4172,13,13,Alan Myerson,Alexa Junge,19/01/1995,456664,25800000
1995,1,the one with the candy hearts,22,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",James Burrows,8.3,3866,14,14,James Burrows,Bill Lawrence,09/02/1995,456667,23800000
1995,1,the one with the stoned guy,22,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",Alan Myerson,8.2,3915,15,15,Alan Myerson,Jeff Greenstein & Jeff Strauss,16/02/1995,456663,24800000
1995,1,the one with two parts: part 1,22,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,Michael Lembeck,8.2,3834,16,16,Michael Lembeck,Marta Kauffman & David Crane,23/02/1995,456665A,26100000
